what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1367989072562
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1367989072578
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1367989072578
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1367989072578
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1367989072578
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1367989072625
started,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1367989072625
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1367989072625
started,bundle,org.tigris.subversion.subclipse.core,1.8.16,"org.tigris.subversion.subclipse.core",1367989072640
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1367989072640
started,bundle,org.tigris.subversion.subclipse.ui,1.8.18,"org.tigris.subversion.subclipse.ui",1367989072671
started,bundle,org.spearce.egit.core,0.4.9,"org.spearce.egit.core",1367989072671
started,bundle,org.spearce.egit.ui,0.4.9,"org.spearce.egit.ui",1367989072671
started,bundle,org.spearce.jgit,0.4.9,"org.spearce.jgit",1367989072687
started,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1367989072687
started,bundle,com.android.ide.eclipse.base,21.1.0.v201302060044-569685,"com.android.ide.eclipse.base",1367989072687
started,bundle,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms",1367989072703
os,sysinfo,,,"win32",1367989072718
arch,sysinfo,,,"x86",1367989072718
ws,sysinfo,,,"win32",1367989072718
locale,sysinfo,,,"ko_KR",1367989072718
processors,sysinfo,,,"2",1367989072718
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367989072718
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1367989072718
java.specification.name,sysinfo,,,"Java Platform API Specification",1367989072718
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367989072718
java.specification.version,sysinfo,,,"1.6",1367989072718
